cycle,population,lsm_cut,fib4_rule,n_population,n_lsm_elevated,n_low_fib4_lsm_elevated,pct_of_lsm_elevated_low_fib4_unweighted,pct_population_lsm_elevated_weighted,pct_population_low_fib4_lsm_elevated_weighted
2017-2020,all_valid_adults,8.0,fib4_low_fixed,6878,706,401,56.79886685552408,9.233237891531772,5.959570848150675
2017-2020,all_valid_adults,8.0,fib4_low_age,6878,706,480,67.98866855524079,9.233237891531772,6.746626825158399
2017-2020,all_valid_adults,8.6,fib4_low_fixed,6878,565,308,54.51327433628319,7.505290472154396,4.742552855468788
2017-2020,all_valid_adults,8.6,fib4_low_age,6878,565,374,66.19469026548673,7.505290472154396,5.371689253369939
2017-2020,all_valid_adults,10.0,fib4_low_fixed,6878,379,192,50.659630606860155,5.085926176793286,2.9617629664038163
2017-2020,all_valid_adults,10.0,fib4_low_age,6878,379,238,62.79683377308707,5.085926176793286,3.4701421231581877
2017-2020,masld_proxy,8.0,fib4_low_fixed,2921,509,320,62.86836935166994,16.80910512389748,11.514627770967039
2017-2020,masld_proxy,8.0,fib4_low_age,2921,509,374,73.47740667976424,16.80910512389748,12.889935128220115
2017-2020,masld_proxy,8.6,fib4_low_fixed,2921,412,251,60.922330097087375,14.060264948712291,9.450202848250113
2017-2020,masld_proxy,8.6,fib4_low_age,2921,412,297,72.0873786407767,14.060264948712291,10.580805212772614
2017-2020,masld_proxy,10.0,fib4_low_fixed,2921,282,161,57.09219858156028,9.64211705235617,6.017084166975538
2017-2020,masld_proxy,10.0,fib4_low_age,2921,282,192,68.08510638297872,9.64211705235617,6.918612154926255
2017-2020,masld_formal,8.0,fib4_low_fixed,2785,470,301,64.04255319148936,16.65963582663523,11.856271588114655
2017-2020,masld_formal,8.0,fib4_low_age,2785,470,354,75.31914893617021,16.65963582663523,13.321169586956563
2017-2020,masld_formal,8.6,fib4_low_fixed,2785,385,239,62.077922077922075,14.020996048283703,9.787880438086882
2017-2020,masld_formal,8.6,fib4_low_age,2785,385,284,73.76623376623377,14.020996048283703,10.99142083086065
2017-2020,masld_formal,10.0,fib4_low_fixed,2785,266,155,58.27067669172932,9.618452542384842,6.257603794274872
2017-2020,masld_formal,10.0,fib4_low_age,2785,266,186,69.92481203007519,9.618452542384842,7.220482377605002
2021-2023,all_valid_adults,8.0,fib4_low_fixed,4741,590,327,55.42372881355932,11.674105354377323,7.311940425409564
2021-2023,all_valid_adults,8.0,fib4_low_age,4741,590,418,70.84745762711864,11.674105354377323,8.618951788155242
2021-2023,all_valid_adults,8.6,fib4_low_fixed,4741,477,252,52.83018867924528,9.616424935147688,5.774635528760487
2021-2023,all_valid_adults,8.6,fib4_low_age,4741,477,328,68.76310272536688,9.616424935147688,6.8894789372080645
2021-2023,all_valid_adults,10.0,fib4_low_fixed,4741,339,169,49.852507374631266,6.840106700955387,3.9443300690639798
2021-2023,all_valid_adults,10.0,fib4_low_age,4741,339,222,65.48672566371681,6.840106700955387,4.723552280742709
2021-2023,masld_proxy,8.0,fib4_low_fixed,1885,410,242,59.02439024390244,21.117086180138717,13.903259973140134
2021-2023,masld_proxy,8.0,fib4_low_age,1885,410,302,73.65853658536585,21.117086180138717,16.185471549478876
2021-2023,masld_proxy,8.6,fib4_low_fixed,1885,335,188,56.11940298507463,17.54045657459258,11.098587259407346
2021-2023,masld_proxy,8.6,fib4_low_age,1885,335,239,71.34328358208955,17.54045657459258,13.02894820662399
2021-2023,masld_proxy,10.0,fib4_low_fixed,1885,247,135,54.65587044534413,13.129279619624898,8.20685100228002
2021-2023,masld_proxy,10.0,fib4_low_age,1885,247,172,69.63562753036437,13.129279619624898,9.574416995372818
2021-2023,masld_formal,8.0,fib4_low_fixed,1757,368,226,61.41304347826087,20.402638110488645,14.13869415234964
2021-2023,masld_formal,8.0,fib4_low_age,1757,368,281,76.3586956521739,20.402638110488645,16.400638554881468
2021-2023,masld_formal,8.6,fib4_low_fixed,1757,304,178,58.55263157894737,17.125803576119516,11.419564547985766
2021-2023,masld_formal,8.6,fib4_low_age,1757,304,227,74.67105263157895,17.125803576119516,13.462160274631549
2021-2023,masld_formal,10.0,fib4_low_fixed,1757,217,126,58.064516129032256,12.289847888959168,8.220362284237062
2021-2023,masld_formal,10.0,fib4_low_age,1757,217,160,73.73271889400921,12.289847888959168,9.630492091601456
