cycle,characteristic,kind,estimate,ci_lower,ci_upper,q1,q3,unweighted_n
2017-2020,"Age, years",mean,50.957916167726154,49.66625931152413,52.24957302392818,,,2785
2017-2020,"Female, %",percent,44.52197083623195,41.323142658447495,47.7207990140164,,,2785
2017-2020,"Mexican American, %",percent,11.945360702138556,8.541619610868262,15.34910179340885,,,2785
2017-2020,"Other Hispanic, %",percent,7.48532724915686,5.714331934256633,9.256322564057088,,,2785
2017-2020,"Non-Hispanic White, %",percent,62.230779001200574,56.73641079647681,67.72514720592434,,,2785
2017-2020,"Non-Hispanic Black, %",percent,8.265481090601247,5.827350691672073,10.70361148953042,,,2785
2017-2020,"Non-Hispanic Asian, %",percent,5.402629188189994,3.58911462365272,7.21614375272727,,,2785
2017-2020,"Other or multiracial, %",percent,4.670422768712789,3.2499763388135268,6.090869198612051,,,2785
2017-2020,"BMI, kg/m²",mean,33.627010999997054,33.076487374588375,34.177534625405734,,,2767
2017-2020,"Obesity, %",percent,67.08294333530031,62.931486407675386,71.23440026292525,,,2785
2017-2020,"Diabetes, %",percent,24.85844059349902,22.026908816163786,27.689972370834255,,,2785
2017-2020,"Hypertension criterion, %",percent,53.63281008621305,49.90652587582519,57.3590942966009,,,2785
2017-2020,"Hypertriglyceridemia criterion, %",percent,59.950861113096984,56.61244037903514,63.28928184715883,,,2785
2017-2020,"Low HDL-C criterion, %",percent,58.70336698043999,54.43295069121861,62.97378326966137,,,2785
2017-2020,"Glucose criterion, %",percent,57.54326255482618,54.42594850410695,60.660576605545415,,,2785
2017-2020,"Low FIB-4, %",percent,86.3688602214653,84.90290714571643,87.83481329721418,,,2785
2017-2020,"CAP, dB/m",mean,322.57085375823584,320.28186692041584,324.85984059605585,,,2785
2017-2020,"LSM, kPa",quantile,5.5,,,4.4,6.9,2785
2017-2020,FIB-4,quantile,0.8738164401095918,,,0.5803978074914509,1.2728430436793667,2785
2021-2023,"Age, years",mean,50.80885712373245,49.53872878859451,52.07898545887039,,,1757
2021-2023,"Female, %",percent,45.47687076292252,42.925558702574065,48.02818282327098,,,1757
2021-2023,"Mexican American, %",percent,9.240393140991369,2.83035020919893,15.650436072783808,,,1757
2021-2023,"Other Hispanic, %",percent,10.568794387551444,7.040584521707122,14.097004253395765,,,1757
2021-2023,"Non-Hispanic White, %",percent,59.74394995036495,54.8350711576831,64.6528287430468,,,1757
2021-2023,"Non-Hispanic Black, %",percent,9.519985705434587,5.293506297753561,13.746465113115613,,,1757
2021-2023,"Non-Hispanic Asian, %",percent,5.705628885601979,2.6480525034661166,8.763205267737842,,,1757
2021-2023,"Other or multiracial, %",percent,5.221247930055673,3.6803164086892464,6.762179451422099,,,1757
2021-2023,"BMI, kg/m²",mean,33.75244787065735,33.155588771770304,34.349306969544394,,,1752
2021-2023,"Obesity, %",percent,66.78408945544207,62.0348424957787,71.53333641510545,,,1757
2021-2023,"Diabetes, %",percent,23.96594734439762,21.51034556436603,26.421549124429212,,,1757
2021-2023,"Hypertension criterion, %",percent,51.747837202124266,48.45186700718524,55.04380739706329,,,1757
2021-2023,"Hypertriglyceridemia criterion, %",percent,58.345970351418075,55.74408313552032,60.947857567315836,,,1757
2021-2023,"Low HDL-C criterion, %",percent,59.850633174152854,56.7303304424442,62.970935905861516,,,1757
2021-2023,"Glucose criterion, %",percent,55.66689766327117,51.77483041336054,59.55896491318181,,,1757
2021-2023,"Low FIB-4, %",percent,86.64068217932062,84.94971398861215,88.33165037002911,,,1757
2021-2023,"CAP, dB/m",mean,324.0829018987052,320.3159313114604,327.84987248594996,,,1757
2021-2023,"LSM, kPa",quantile,5.7,,,4.6,7.4,1757
2021-2023,FIB-4,quantile,0.8614424204707685,,,0.580153454092285,1.271557597310949,1757
