cycle,lsm_cutoff,subgroup,subgroup_n,low_fib4_n,discordant_n,discordant_in_subgroup_percent,discordant_in_subgroup_ci_lower,discordant_in_subgroup_ci_upper,lsm_elevated_among_low_fib4_percent,lsm_elevated_among_low_fib4_ci_lower,lsm_elevated_among_low_fib4_ci_upper
2017-2020,8.0,All operational MASLD,2785,2347,354,13.321169586956563,10.70181171409907,15.940527459814055,15.423579230753637,12.463038671506538,18.384119790000735
2017-2020,8.0,Diabetes,840,672,181,24.049079491804864,18.92927572274341,29.16888326086632,30.289020727331483,23.65364673557851,36.92439471908446
2017-2020,8.0,Exploratory metabolic-risk clustering,1668,1396,293,18.935519212466563,15.464170577998932,22.406867846934198,22.018541992597314,18.021852662674313,26.015231322520314
2017-2020,8.6,All operational MASLD,2785,2347,284,10.99142083086065,8.32817937112002,13.654662290601276,12.726138567391839,9.711009366630966,15.741267768152714
2017-2020,8.6,Diabetes,840,672,148,21.043092978264333,16.155865845542987,25.930320110985683,26.503080070195956,20.206624949713163,32.799535190678746
2017-2020,8.6,Exploratory metabolic-risk clustering,1668,1396,232,15.231747491375339,11.86277151998056,18.600723462770116,17.711733594222352,13.769288790784625,21.654178397660075
2017-2020,10.0,All operational MASLD,2785,2347,186,7.220482377605003,5.261041187826714,9.179923567383293,8.360052869854236,6.094356255398472,10.625749484309999
2017-2020,10.0,Diabetes,840,672,96,12.997889993362591,8.802869945087126,17.192910041638054,16.37041282826196,10.90385434356224,21.83697131296168
2017-2020,10.0,Exploratory metabolic-risk clustering,1668,1396,147,9.766677924277777,7.261475661886296,12.271880186669259,11.35685827206166,8.460872493730795,14.252844050392524
2021-2023,8.0,All operational MASLD,1757,1467,281,16.400638554881464,14.339385773067676,18.461891336695253,18.929489175693455,16.521492096656388,21.337486254730525
2021-2023,8.0,Diabetes,486,396,110,24.247781110588743,19.917435824946615,28.578126396230875,28.810651750588573,23.541287728333803,34.08001577284334
2021-2023,8.0,Exploratory metabolic-risk clustering,1029,863,217,22.471581966419755,20.287455590039734,24.65570834279978,26.03727323872715,23.43240663804086,28.64213983941344
2021-2023,8.6,All operational MASLD,1757,1467,227,13.462160274631549,11.486805713145937,15.437514836117161,15.537920450313228,13.197760662079327,17.878080238547128
2021-2023,8.6,Diabetes,486,396,93,21.26958147050769,17.16407613925613,25.375086801759245,25.272023936242547,20.317322299737526,30.22672557274757
2021-2023,8.6,Exploratory metabolic-risk clustering,1029,863,175,18.28991226641744,16.245796775531193,20.334027757303684,21.192074679241237,18.66065000396138,23.723499354521095
2021-2023,10.0,All operational MASLD,1757,1467,160,9.630492091601457,8.201010315967082,11.059973867235833,11.115438901634203,9.410241893678158,12.820635909590248
2021-2023,10.0,Diabetes,486,396,72,16.23822966440094,13.19579553639365,19.28066379240823,19.29388828501237,15.636702319846258,22.951074250178475
2021-2023,10.0,Exploratory metabolic-risk clustering,1029,863,130,14.027730184279383,12.265748312158843,15.789712056399921,16.25358838879355,14.15207851641959,18.35509826116751
