"cycle","variable","label","adjusted_or","ci_lower","ci_upper","p_value","design_df"
"2017-2020","age_10","Age, per 10 years",1.02875777836687,0.875629802603901,1.20866439607595,0.720161523435684,25
"2017-2020","female","Female vs male",0.607880075185006,0.404918321453031,0.912574626114543,0.018355934478856,25
"2017-2020","bmi_5","BMI, per 5 kg/m2",1.81866299231732,1.58972714345739,2.08056778374638,1.84326175954301e-09,25
"2017-2020","diabetes","Diabetes",3.06152959943994,2.02013662697007,4.63976711431893,9.21303271849858e-06,25
"2017-2020","tg_50","Triglycerides, per 50 mg/dL",1.02139409260115,0.926156580131621,1.1264249639648,0.659854267350693,25
"2017-2020","hdl_10","HDL-C, per 10 mg/dL",1.00354992854822,0.845215538643252,1.19154513025845,0.966434472391144,25
"2017-2020","sbp_10","Systolic BP, per 10 mmHg",1.0310222458723,0.883878212897887,1.20266214957192,0.686305032882332,25
"2017-2020","cap_10","CAP, per 10 dB/m",1.06119806469597,1.00896013901418,1.11614055795582,0.0229430102693787,25
"2021-2023","age_10","Age, per 10 years",1.14339320250473,0.997365379147066,1.31080148044846,0.0540319819229034,15
"2021-2023","female","Female vs male",0.832653377590125,0.593135309662637,1.16889289158419,0.267825710737143,15
"2021-2023","bmi_5","BMI, per 5 kg/m2",1.83040662089604,1.47984954717906,2.26400609724597,2.17963239408256e-05,15
"2021-2023","diabetes","Diabetes",1.50822311761939,0.96249355787243,2.36337890671165,0.0701154709286246,15
"2021-2023","tg_50","Triglycerides, per 50 mg/dL",0.979379215076978,0.935452407129297,1.02536873026852,0.348484253227079,15
"2021-2023","hdl_10","HDL-C, per 10 mg/dL",0.825342429424198,0.674899493873007,1.00932084257277,0.0601238910581023,15
"2021-2023","sbp_10","Systolic BP, per 10 mmHg",1.04664470104048,0.945846093685162,1.15818539351155,0.35248001759326,15
"2021-2023","cap_10","CAP, per 10 dB/m",1.08248304908636,1.01504786425493,1.15439832230908,0.0190697238852983,15
