"cycle","variable","model_n","event_n","design_df","spline_df","wald_p_for_nonlinearity"
"2017-2020","age_10",2150,331,25,3,0.969859228633474
"2017-2020","bmi_5",2150,331,25,3,0.0780782242286537
"2017-2020","tg_50",2150,331,25,3,0.872517789357922
"2017-2020","hdl_10",2150,331,25,3,0.151404589954913
"2017-2020","sbp_10",2150,331,25,3,0.559010109698411
"2017-2020","cap_10",2150,331,25,3,0.0359645214366252
"2021-2023","age_10",1433,274,15,3,0.0757000719232792
"2021-2023","bmi_5",1433,274,15,3,0.948730332266992
"2021-2023","tg_50",1433,274,15,3,0.512591288853158
"2021-2023","hdl_10",1433,274,15,3,0.541856652070462
"2021-2023","sbp_10",1433,274,15,3,0.698772341505738
"2021-2023","cap_10",1433,274,15,3,0.193472820929317
