cycle,characteristic,complete_estimate,complete_ci_lower,complete_ci_upper,complete_variable_n,excluded_estimate,excluded_ci_lower,excluded_ci_upper,excluded_variable_n,standardized_mean_difference,absolute_smd
2017-2020,"Age, years",48.043399353928685,46.88853415681099,49.19826455104638,6878,50.19697150539815,48.716255207987345,51.67768780280896,1666,-0.12000177910368136,0.12000177910368136
2017-2020,"Female, %",50.6228207136892,48.74127994787488,52.504361479503515,6878,58.05821726847148,54.89012254597518,61.22631199096777,1666,-0.14968895553068148,0.14968895553068148
2017-2020,"BMI, kg/m²",29.555737069406053,29.201704811832823,29.909769326979283,6825,31.079316853019034,30.182603468524167,31.9760302375139,1556,-0.19108936260880785,0.19108936260880785
2017-2020,"Obesity, %",40.95210504347705,38.256435826622074,43.647774260332014,6825,47.15459034201043,42.80501062158139,51.50417006243948,1556,-0.1251809548414162,0.1251809548414162
2017-2020,"Diabetes, %",13.835259523616703,12.89791874112803,14.772600306105375,6878,17.884396988346595,15.218931750286124,20.54986222640706,1666,-0.1110144719396179,0.1110144719396179
2021-2023,"Age, years",48.60127207542156,47.49368434835619,49.708859802486934,4741,49.56660686763903,47.55143538569505,51.58177834958301,1323,-0.05369331292971301,0.05369331292971301
2021-2023,"Female, %",50.59951009278895,48.89607414854011,52.30294603703779,4741,55.15573442133087,51.490972296727534,58.82049654593421,1323,-0.0913709817118662,0.0913709817118662
2021-2023,"BMI, kg/m²",29.339191428606885,28.80443375835899,29.87394909885478,4714,31.034125399154064,30.236828206697858,31.83142259161027,1256,-0.21415766304180645,0.21415766304180645
2021-2023,"Obesity, %",38.8822926038177,35.04262366449833,42.72196154313708,4714,45.86499981927807,41.33882487566677,50.39117476288936,1256,-0.14166156905166233,0.14166156905166233
2021-2023,"Diabetes, %",13.566598575550456,12.025662398432981,15.107534752667931,4741,18.48157171900681,15.536599515446337,21.42654392256728,1323,-0.134286980540157,0.134286980540157
