cycle,domain,total_millions,ci_lower_millions,ci_upper_millions,domain_n
2017-2020,Operational MASLD,79.088258920274,73.29948969941913,84.87702814112889,2785
2017-2020,Operational MASLD + low FIB-4,68.30762779844201,63.25898636397341,73.3562692329106,2347
2017-2020,Operational MASLD + low FIB-4 + LSM>=8.0 kPa,10.535481094141002,8.272309778003686,12.798652410278317,354
2017-2020,Operational MASLD + diabetes,19.660107860129,16.82172148297479,22.498494237283207,840
2017-2020,Operational MASLD + diabetes + low FIB-4,15.609864082500998,13.13402099565702,18.08570716934498,672
2017-2020,Operational MASLD + diabetes + low FIB-4 + LSM>=8.0 kPa,4.728074967457,3.268492463104675,6.187657471809326,181
2021-2023,Operational MASLD,74.79569993117613,67.95656854466515,81.63483131768712,1757
2021-2023,Operational MASLD + low FIB-4,64.80350466116865,58.418349708992906,71.1886596133444,1467
2021-2023,Operational MASLD + low FIB-4 + LSM>=8.0 kPa,12.266972400305924,10.52338235002385,14.010562450588,281
2021-2023,Operational MASLD + diabetes,17.925498061379322,16.000329020422004,19.850667102336637,486
2021-2023,Operational MASLD + diabetes + low FIB-4,15.086557466778897,13.14585261424086,17.027262319316936,396
2021-2023,Operational MASLD + diabetes + low FIB-4 + LSM>=8.0 kPa,4.346535532906085,3.7369988044756886,4.956072261336482,110
